enterprise_id,treatment_285,ent_running,Gender,BlockCode,_weight,age_entrepreneur,CIBILscore,NumberofHouseholdmembers,HighestEducation,Religion,Community,MaritalStatus,OwnRentedHouse,TypeofDwelling,CAPBeneficiary,Typeofownership,Existingbusiness,Category_of_enterprise,Vehicle,Water,Equipmentavailability,Skilledlaboravailability,ECP_Score,HouseholdIncome
e_1,0,0,Male,B030,,31,300 to 550,1,Graduate,Hindu,SC,Married,Own,Pucca House,No,Individual/Sole Proprietary,Existing,WHITE,110000,Available,No,No,55,0
e_100,0,1,Female,B019,1,34,300 to 550,3,Diploma,Hindu,SC,Unmarried,Own,Pucca House,Yes,Individual/Sole Proprietary,Existing,WHITE,63000,Available,No,Yes,45,294000
e_1002,0,1,Male,B019,1,39,650 to 750,2,Secondary - 8th to 10th Standard,Hindu,MBC/DNC,Married,Own,Pucca House,No,Individual/Sole Proprietary,Existing,WHITE,20000,Not Available,No,Yes,40,203000
e_1004,0,0,Male,B080,,35,650 to 750,1,Senior Secondary - 11th to 12th  ,Hindu,SC,Married,Own,Pucca House,No,Individual/Sole Proprietary,New,WHITE,60000,Available,No,Yes,50,120000
e_1006,0,1,Female,B085,,34,650 to 750,1,Secondary - 8th to 10th Standard,Hindu,SC,Married,Own,Kutcha House,No,Individual/Sole Proprietary,New,WHITE,25000,Not Available,No,Yes,55,370000
e_1007,0,0,Female,B032,,29,750 to 900,4,Graduate,Hindu,SC,Married,Own,Kutcha House,Yes,Individual/Sole Proprietary,Existing,GREEN,60000,Available,No,Yes,60,62000
e_1008,0,1,Male,B045,1,24,750 to 900,2,Graduate,Hindu,BC,Unmarried,Own,Pucca House,No,Individual/Sole Proprietary,New,WHITE,45000,Available,No,Yes,55,120000
e_1009,0,0,Male,B079,1,36,650 to 750,1,Graduate,Hindu,MBC/DNC,Married,Own,Pucca House,No,Individual/Sole Proprietary,Existing,WHITE,50000,Available,No,Yes,50,60000
e_101,0,1,Female,B087,2,37,-1 to 0,4,Secondary - 8th to 10th Standard,Hindu,MBC/DNC,Married,Own,Kutcha House,No,Individual/Sole Proprietary,Existing,GREEN,0,Available,No,Yes,55,241000
e_1010,0,1,Male,B074,1,39,750 to 900,2,Senior Secondary - 11th to 12th  ,Hindu,MBC/DNC,Married,Own,Kutcha House,No,Individual/Sole Proprietary,Existing,ORANGE,100000,Available,No,Yes,35,43000
